iter	Passed	Remaining
0	7	728
1	16	802
2	24	788
3	34	837
4	42	807
5	52	823
6	60	805
7	68	788
8	78	795
9	87	789
10	101	818
11	112	824
12	122	822
13	132	813
14	141	803
15	151	793
16	161	787
17	172	785
18	183	782
19	192	770
20	201	759
21	211	751
22	220	739
23	231	734
24	245	737
25	258	736
26	269	729
27	280	722
28	290	710
29	302	706
30	315	702
31	326	693
32	340	692
33	351	681
34	361	671
35	371	660
36	380	647
37	396	646
38	404	632
39	414	621
40	422	607
41	424	586
42	428	567
43	436	555
44	446	545
45	456	536
46	466	525
47	477	517
48	488	508
49	497	497
50	507	487
51	519	479
52	531	471
53	545	464
54	561	459
55	577	453
56	593	447
57	606	438
58	620	431
59	631	421
60	643	411
61	655	401
62	666	391
63	679	382
64	681	366
65	693	357
66	705	347
67	721	339
68	737	331
69	748	320
70	759	310
71	769	299
72	779	288
73	788	277
74	797	265
75	806	254
76	815	243
77	825	232
78	834	221
79	842	210
80	851	199
81	861	189
82	869	178
83	878	167
84	890	157
85	901	146
86	910	136
87	922	125
88	933	115
89	944	104
90	957	94
91	968	84
92	980	73
93	990	63
94	1002	52
95	1013	42
96	1025	31
97	1035	21
98	1045	10
99	1055	0
